sweep_dir,run_id,model_exists,batch_size,num_workers,num_classes,n,ch,L,T,gamma,J,J_bias,ksizes,ro_ksize,ro_N,norm,c_norm,use_omega,init_omg,global_omg,learn_omg,ensemble,epochs,lr,weight_decay,log_interval,eval_interval,save_interval,seed,experiment_name,save_dir,final_train_loss,final_train_acc,final_test_loss,final_test_acc
sweep_20250708_581384.opbs_0,0,True,64.0,4.0,10.0,2.0,128.0,3.0,3.0,0.01,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581384.opbs_0,1.3349630520929157,53.036,1.176020858014465,58.4
sweep_20250708_581385.opbs_1,1,True,64.0,4.0,10.0,2.0,128.0,3.0,3.0,0.1,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581385.opbs_1,0.7680536218540138,73.494,0.6392393374139336,77.99
sweep_20250708_581386.opbs_2,2,True,64.0,4.0,10.0,2.0,128.0,3.0,3.0,1.0,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581386.opbs_2,1.1690634835101759,59.196,0.900897495685869,68.23
sweep_20250708_581387.opbs_3,3,True,64.0,4.0,10.0,2.0,128.0,3.0,7.0,0.01,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581387.opbs_3,1.0473474790068233,63.452,0.8791034950572214,69.35
sweep_20250708_581388.opbs_4,4,True,64.0,4.0,10.0,2.0,128.0,3.0,7.0,0.1,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581388.opbs_4,0.7801665742607677,72.902,0.6367498630551016,78.15
sweep_20250708_581389.opbs_5,5,True,64.0,4.0,10.0,2.0,128.0,3.0,7.0,1.0,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581389.opbs_5,2.12305056987821,21.592,2.0591088130975224,25.47
sweep_20250708_581390.opbs_6,6,True,64.0,4.0,10.0,2.0,128.0,3.0,15.0,0.01,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581390.opbs_6,0.8808759606402853,69.618,0.7230548313848532,75.16
sweep_20250708_581391.opbs_7,7,True,64.0,4.0,10.0,2.0,128.0,3.0,15.0,0.1,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581391.opbs_7,2.2647918554218225,14.346,2.209527278402049,18.88
sweep_20250708_581392.opbs_8,8,True,64.0,4.0,10.0,2.0,128.0,3.0,15.0,1.0,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581392.opbs_8,2.221712034376686,17.512,2.185170383210395,20.42
sweep_20250708_581393.opbs_9,9,True,64.0,4.0,10.0,2.0,128.0,3.0,31.0,0.01,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581393.opbs_9,0.7784447112809056,73.064,0.612965197320197,78.47
sweep_20250708_581394.opbs_10,10,True,64.0,4.0,10.0,2.0,128.0,3.0,31.0,0.1,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581394.opbs_10,2.275695526081583,13.338,2.2741144872774743,13.1
sweep_20250708_581395.opbs_11,11,True,64.0,4.0,10.0,2.0,128.0,3.0,31.0,1.0,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581395.opbs_11,2.266323978943593,14.53,2.245305084119177,16.04
sweep_20250708_581396.opbs_12,12,True,64.0,4.0,10.0,2.0,128.0,3.0,63.0,0.01,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581396.opbs_12,0.8558299379123141,70.468,0.6988735639365615,76.02
sweep_20250708_581397.opbs_13,13,True,64.0,4.0,10.0,2.0,128.0,3.0,63.0,0.1,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581397.opbs_13,2.27977622409001,12.796,2.2580039227844044,14.64
sweep_20250708_581398.opbs_14,14,True,64.0,4.0,10.0,2.0,128.0,3.0,63.0,1.0,conv,False,"[9, 7, 5]",3.0,2.0,bn,gn,True,1.0,False,True,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,sweep_my_akorn_cifar10,results/sweep_20250708_581398.opbs_14,1.9437190515305989,29.14,1.813543794261422,35.07
sweep_20250708_581399.opbs_15,15,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep_20250708_581400.opbs_16,16,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sweep_20250708_581401.opbs_17,17,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
